from,to,relationship,year
ck,B90,2,2022
fb,EU,2,2022
ft,FDP,2,2022
rs,SPD,2,2022
rs,ES,3,2021
co,EP,2,2009
ck,B,2,2022
ck,T,7,2021
mt,T,7,2021
jb,M,7,2021
jb,LiSL,3,2021
ft,T,7,2021
rs,Z,7,2021
jb,DSW,3,2021
mt,EUP,2,2022
jb,EUP,2,2022
fb,EUP,2,2022
bs,EUP,2,2022
ck,EUP,2,2022
mt,EP,2,2022
ft,KfWA,3,2020
jb,EP,2,2019
fb,EP,2,2019
bs,EP,2,2019
ck,EP,2,2019
ft,FNS,5,2005
mt,FNS,5,
rs,KfWA,3,2021
mt,KfWA,3,2021
ft,SpF,3,2021
co,SpF,3,2021
mt,TS,3,2021
co,TS,3,2021
fb,BK,1,2022
ft,BF,1,2022
rs,BN,1,2022
tl,AA,1,2022
bs,J,1,2022
mt,BV,1,2022
ck,BN,1,2022
jb,BF,1,2022
rs,jb,1,2022
ck,fb,2,2022
ck,tl,2,2022
co,BE,1,2022
ck,co,2,2022
tl,co,2,2022
fb,co,2,2022
fb,tl,2,2022
jb,mt,2,2022
jb,ft,2,2022
bs,jb,2,2022
ft,bs,2,2022
bs,mt,2,2022
mt,ft,2,2022
ft,mt,5,2021
jb,fb,3,2019
bs,fb,3,2019
jb,bs,3,2019
jb,ck,3,2019
ck,fb,3,2019
bs,tl,3,2019
bs,ck,3,2019
tl,fb,3,2019
tl,ck,3,2019
jb,tl,3,2019
rs,ft,3,2019
mt,rs,3,2019
ft,co,3,2021
co,mt,3,2021
mt,co,4,2021
co,fb,4,2021
co,mt,4,2021
