id,name_short,name,type,sex,birth,position,education,subject,party,religion,kids,twitter,instagram,facebook,youtube
jb,Brandenburg,Jens Brandenburg,0,2,1986,0,1,1,3,,,5410,3329,,
ft,Toncar,Florian Toncar,0,2,1979,0,1,0,3,2,3,8599,3071,4477,101
ck,Kuehn,Christian Kuehn,0,2,1979,0,2,1,2,2,3,4829,1663,110,35
AA,AA,Auswaertiges Amt,1,,,,,,,,,,,,
B90,Gruene,Buendnis 90/die Gruenen,1,,1980,,,,,,,54500,226000,229000,24800
fb,Brantner,Franziska Brantner,0,1,1979,0,1,2,2,,1,14052,4480,2748,26
FDP,FDP,Freie Demokratische Partei,1,,1948,,,,,,,404000,157000,169000,20200
SPD,SPD,Sozial-Demokratische Partei Deutschland,1,,1863,,,,,,,203000,92700,215000,
EP,Eu Parlament,Europaeisches Parlament,1,,1952,,,,,,,,,,
rs,Schwarzelaehr-Sutter,Rita Schwarzelaehr-Sutter,0,1,1962,0,3,3,1,1,2,4253,1536,2953,17
tl,Lindner,Tobias Lindner,0,2,1982,1,4,4,2,,1,10500,3609,4921,
bs,Strasser,Benjamin Strasser,0,2,1987,0,0,0,3,1,0,5815,3936,,288
co,Oezdemir,Cem Oezdemir,0,2,1965,2,2,5,2,3,2,317000,105000,,
mt,Theurer,Michael A. Theurer,0,2,1967,0,4,6,3,2,2,8484,3745,,
T,Tuebingen,Tuebingen,1,,,,,,,,,,,,
EU,Europ. Union,Europaeische Union,1,,,,,,,,,,,,
ES,EUROSOLAR,Europaeische Vereinigung fuer Erneuerbare Energien e. V. ,1,,,,,,,,,,,,
M,Mannheim,Mannheim,1,,,,,,,,,,,,
DSW,DSW,Deutsches Studienwerk e. V. ,1,,,,,,,,,,,,
LiSL,LiSL,Liberaler Schwulen und Lesben Verband,1,,,,,,,,,,,,
BWK,BWK,Bundesministerium fuer Wirtschaft und Klimaschutz,1,,,,,,,,,,,,
Z,Zuerich,Zuerich,1,,,,,,,,,,,,
EUP,EU Parlamentiergruppe,Europa-Union-Parlamentiergruppe im Europaeischen Parlament,1,,,,,,,,,,,,
FNS,FNS,Friedrich Neumann Stiftung,1,,,,,,,,,,,,
KWA,KWA,Kreditanstalt fuer Wiederaufbau,1,,,,,,,,,,,,
SpF,SpF,Gesellschaft zum Studium strukturpolitischer Fragen e. V.,1,,,,,,,,,,,,
TS,TS,Theodor-Heuss-Stiftun,1,,,,,,,,,,,,
BF,BF,Bundesministerium fuer Finanzen,1,,,,,,,,,,,,
"BN,BN,""Bundesministerium fuer Umwelt, Naturschutz und nukleare Sicherheit"",1,,,,,,,,,,,,"
BF,BF,Bundesministerium fuer Bildung und Forschung,1,,,,,,,,,,,,
J,J,Bundesministerium der Justiz,1,,,,,,,,,,,,
BE,BE,Bundesministerium fuer Ernaehrung,1,,,,,,,,,,,,
BV,BV,Bundesministerium fuer Digitales und Verkehr,1,,,,,,,,,,,,
